stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\migue\OneDrive\Área de Trabalho\TrabalhoDePi\Quimic-Lab\Jogo 2D\x64\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.02005] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02006] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02008] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02009] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02012] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02013] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02015] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02016] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02018] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02020] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02021] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02023] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02024] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02026] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02028] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02029] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02031] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02032] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02034] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02035] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02037] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02038] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02040] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02042] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02043] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02045] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02046] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02048] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02049] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02051] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02053] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02054] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02056] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02057] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02059] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02060] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02062] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02063] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02065] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02067] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02068] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02070] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02071] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02073] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02075] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02076] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02078] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02079] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02081] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02082] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02084] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02085] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02087] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02088] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02090] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02091] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02093] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02094] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02096] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02098] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02099] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02101] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02102] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02104] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02105] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02107] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
